"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc068t",203,"bandits5050","bandit50a","bandit50b",4,1,0,1.9722,"bandit50a","bandit50b",1,3.8285,0,4,0.51111,0.90556,0.90556,0.51111,0.39444,1,68,0
"voc068t",204,"bandits7030","bandit70","bandit30",2,2,1,1.8159,"bandit30","bandit70",2,0.50865,0,0,0.73684,0.72359,0.73684,0.72359,0.013249,1,68,1
"voc068t",205,"bandits5050","bandit50a","bandit50b",2,2,1,1.906,"bandit50b","bandit50a",2,0.00015979,1,10,0.51111,0.69469,0.51111,0.69469,-0.18357,-1,69,0
"voc068t",206,"bandits7030","bandit70","bandit30",3,2,1,2.0538,"bandit30","bandit70",2,0.00018033,0,0,0.73684,0.81842,0.73684,0.81842,-0.081579,-1,69,0
"voc068t",207,"bandits9010","bandit90","bandit10",1,2,1,3.682,"bandit90","bandit10",1,1.0678,1,10,0.89831,0.60471,0.89831,0.60471,0.2936,1,69,1
"voc068t",208,"bandits9010","bandit90","bandit10",2,2,1,2.297,"bandit90","bandit10",1,0.77881,1,10,0.9,0.70556,0.9,0.70556,0.19444,1,70,1
"voc068t",209,"bandits5050","bandit50a","bandit50b",1,2,1,1.8918,"bandit50a","bandit50b",1,0.46285,1,10,0.52174,0.6,0.52174,0.6,-0.078261,-1,70,0
"voc068t",210,"bandits7030","bandit30","bandit70",4,1,0,2.0452,"bandit70","bandit30",2,3.828,0,4,0.73684,0.91358,0.91358,0.73684,0.17674,1,70,0
"voc068t",211,"bandits9010","bandit90","bandit10",0,2,1,1.4319,"bandit90","bandit10",1,0.71702,1,10,0.90164,0.50638,0.90164,0.50638,0.39526,1,71,1
"voc068t",212,"bandits7030","bandit70","bandit30",0,2,1,1.8817,"bandit30","bandit70",2,0.00018044,0,0,0.71795,0.50414,0.71795,0.50414,0.21381,1,71,1
"voc068t",213,"bandits5050","bandit50a","bandit50b",3,2,1,1.5404,"bandit50b","bandit50a",2,1.1349,0,0,0.52174,0.81087,0.52174,0.81087,-0.28913,-1,71,0
"voc068t",214,"bandits7030","bandit30","bandit70",6,1,0,2.6564,"bandit30","bandit70",1,4.3674,0,6,0.71795,1.0996,1.0996,0.71795,0.38165,1,72,0
"voc068t",215,"bandits9010","bandit90","bandit10",2,2,1,1.3379,"bandit90","bandit10",1,0.88224,1,10,0.90323,0.70717,0.90323,0.70717,0.19606,1,72,1
"voc068t",216,"bandits5050","bandit50a","bandit50b",1,2,1,3.5607,"bandit50b","bandit50a",2,0.62334,0,0,0.51064,0.60532,0.51064,0.60532,-0.094681,-1,72,0
"voc068t",217,"bandits7030","bandit30","bandit70",3,2,1,4.1593,"bandit30","bandit70",1,0.35697,0,0,0.71795,0.79534,0.71795,0.79534,-0.077389,-1,73,0
"voc068t",218,"bandits5050","bandit50a","bandit50b",6,2,1,0.76715,"bandit50b","bandit50a",2,0.41621,1,10,0.5,1.1,0.5,1.1,-0.6,-1,73,0
"voc068t",219,"bandits9010","bandit90","bandit10",3,2,1,0.9598,"bandit90","bandit10",1,0.67224,1,10,0.90476,0.80794,0.90476,0.80794,0.096825,1,73,1
"voc068t",220,"bandits7030","bandit30","bandit70",2,2,1,0.99831,"bandit30","bandit70",1,3.3247,0,0,0.71795,0.69133,0.71795,0.69133,0.026621,1,74,1
"voc068t",221,"bandits9010","bandit90","bandit10",4,2,1,1.1195,"bandit90","bandit10",1,0.75293,1,10,0.90625,0.90868,0.90625,0.90868,-0.0024306,-1,74,0
"voc068t",222,"bandits5050","bandit50a","bandit50b",4,2,1,1.6288,"bandit50b","bandit50a",2,0.98561,0,0,0.5102,0.9051,0.5102,0.9051,-0.3949,-1,74,0
"voc068t",223,"bandits7030","bandit30","bandit70",4,2,1,0.85049,"bandit70","bandit30",2,1.8073,0,0,0.71795,0.88755,0.71795,0.88755,-0.1696,-1,75,0
"voc068t",224,"bandits9010","bandit10","bandit90",1,2,1,0.82386,"bandit90","bandit10",2,0.46142,0,0,0.90769,0.6094,0.90769,0.6094,0.29829,1,75,1
"voc068t",225,"bandits5050","bandit50b","bandit50a",0,2,1,1.3881,"bandit50b","bandit50a",1,0.47524,1,10,0.5,0.5,0.5,0.5,0,0,75,
"voc068t",226,"bandits5050","bandit50a","bandit50b",5,2,1,1.0329,"bandit50a","bandit50b",1,2.2302,0,0,0.5098,1.0049,0.5098,1.0049,-0.4951,-1,76,0
"voc068t",227,"bandits7030","bandit70","bandit30",1,2,1,1.6194,"bandit30","bandit70",2,0.48855,1,10,0.7,0.57857,0.7,0.57857,0.12143,1,76,1
"voc068t",228,"bandits9010","bandit90","bandit10",5,2,1,6.3257,"bandit90","bandit10",1,0.46048,1,10,0.89394,1.0025,0.89394,1.0025,-0.10859,-1,76,0
"voc068t",229,"bandits9010","bandit90","bandit10",6,1,0,2.0509,"bandit90","bandit10",1,7.4089,1,16,0.89552,1.1033,1.1033,0.89552,0.20779,1,77,0
"voc068t",230,"bandits7030","bandit30","bandit70",5,1,0,1.5693,"bandit70","bandit30",2,2.811,1,15,0.7,0.98889,0.98889,0.7,0.28889,1,77,0
"voc068t",231,"bandits5050","bandit50b","bandit50a",2,2,1,1.5269,"bandit50b","bandit50a",1,0.7194,0,0,0.5098,0.6949,0.5098,0.6949,-0.1851,-1,77,0
"voc068t",232,"bandits5050","bandit50a","bandit50b",2,2,1,1.1074,"bandit50b","bandit50a",2,0.53346,1,10,0.5,0.69,0.5,0.69,-0.19,-1,78,0
"voc068t",233,"bandits9010","bandit90","bandit10",1,2,1,1.5528,"bandit90","bandit10",1,0.60946,1,10,0.89706,0.60408,0.89706,0.60408,0.29297,1,78,1
"voc068t",234,"bandits7030","bandit30","bandit70",3,2,1,1.4343,"bandit70","bandit30",2,0.57538,0,0,0.70732,0.79255,0.70732,0.79255,-0.08523,-1,78,0
"voc068t",235,"bandits9010","bandit10","bandit90",5,2,1,3.4887,"bandit90","bandit10",2,1.8822,1,10,0.89855,1.0048,0.89855,1.0048,-0.10628,-1,79,0
"voc068t",236,"bandits5050","bandit50b","bandit50a",0,2,1,3.2463,"bandit50a","bandit50b",2,0.77724,0,0,0.50943,0.49472,0.50943,0.49472,0.014717,1,79,1
"voc068t",237,"bandits7030","bandit70","bandit30",6,1,0,1.4277,"bandit30","bandit70",2,1.3876,1,16,0.69048,1.0841,1.0841,0.69048,0.39365,1,79,0
"voc068t",238,"bandits9010","bandit10","bandit90",3,2,1,0.12779,"bandit90","bandit10",2,0.00017759,1,10,0.9,0.80556,0.9,0.80556,0.094444,1,80,1
