"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc057a",71,"bandits7030","bandit30","bandit70",6,2,1,0.48907,"bandit70","bandit30",2,0.43572,1,10,0.66667,1.0762,0.66667,1.0762,-0.40952,-1,24,0
"voc057a",72,"bandits5050","bandit50b","bandit50a",0,2,1,0.36315,"bandit50a","bandit50b",2,0.89312,1,10,0.55556,0.52778,0.55556,0.52778,0.027778,1,24,1
"voc057a",73,"bandits5050","bandit50b","bandit50a",3,2,1,0.35249,"bandit50a","bandit50b",2,0.43451,0,0,0.6,0.85,0.6,0.85,-0.25,-1,25,0
"voc057a",74,"bandits9010","bandit90","bandit10",3,2,1,0.36295,"bandit90","bandit10",1,0.32271,1,10,0.9,0.82143,0.9,0.82143,0.078571,1,25,1
"voc057a",75,"bandits7030","bandit30","bandit70",5,1,0,0.44796,"bandit30","bandit70",1,1.0711,1,15,0.7,0.99286,0.99286,0.7,0.29286,1,25,0
"voc057a",76,"bandits7030","bandit30","bandit70",3,1,0,0.76873,"bandit30","bandit70",1,0.6829,0,3,0.7,0.81667,0.81667,0.7,0.11667,1,26,0
"voc057a",77,"bandits9010","bandit10","bandit90",1,1,0,0.33404,"bandit90","bandit10",2,0.39305,1,11,0.90909,0.62597,0.62597,0.90909,-0.28312,-1,26,1
"voc057a",78,"bandits5050","bandit50b","bandit50a",6,1,0,0.8727,"bandit50b","bandit50a",1,0.59826,1,16,0.54545,1.1227,1.1227,0.54545,0.57727,1,26,0
"voc057a",79,"bandits5050","bandit50a","bandit50b",1,2,1,1.0037,"bandit50b","bandit50a",2,0.33024,0,0,0.54545,0.63939,0.54545,0.63939,-0.093939,-1,27,0
"voc057a",80,"bandits7030","bandit70","bandit30",4,2,1,1.2462,"bandit70","bandit30",1,0.35517,1,10,0.7,0.90625,0.7,0.90625,-0.20625,-1,27,0
"voc057a",81,"bandits9010","bandit10","bandit90",0,2,1,1.182,"bandit90","bandit10",2,0.26942,1,10,0.91667,0.52976,0.91667,0.52976,0.3869,1,27,1
"voc057a",82,"bandits9010","bandit90","bandit10",5,2,1,1.6926,"bandit10","bandit90",2,0.67097,0,0,0.92308,1.033,0.92308,1.033,-0.10989,-1,28,0
"voc057a",83,"bandits5050","bandit50b","bandit50a",4,2,1,0.78135,"bandit50b","bandit50a",1,0.38037,1,10,0.54545,0.92273,0.54545,0.92273,-0.37727,-1,28,0
"voc057a",84,"bandits7030","bandit70","bandit30",0,2,1,0.9102,"bandit30","bandit70",2,0.51358,0,0,0.72727,0.51989,0.72727,0.51989,0.20739,1,28,1
"voc057a",85,"bandits5050","bandit50b","bandit50a",3,2,1,4.9176,"bandit50b","bandit50a",1,0.28509,1,10,0.54545,0.83743,0.54545,0.83743,-0.29198,-1,29,0
"voc057a",86,"bandits9010","bandit90","bandit10",6,1,0,0.80289,"bandit90","bandit10",1,0.41977,1,16,0.92308,1.1282,1.1282,0.92308,0.20513,1,29,0
"voc057a",87,"bandits7030","bandit30","bandit70",4,2,1,0.93643,"bandit30","bandit70",1,0.42634,1,10,0.72727,0.9107,0.72727,0.9107,-0.18342,-1,29,0
"voc057a",88,"bandits9010","bandit90","bandit10",0,2,1,1.0185,"bandit10","bandit90",2,0.064292,0,0,0.92857,0.53095,0.92857,0.53095,0.39762,1,30,1
"voc057a",89,"bandits5050","bandit50a","bandit50b",1,2,1,1.1111,"bandit50b","bandit50a",2,0.34605,0,0,0.55556,0.65051,0.55556,0.65051,-0.094949,-1,30,0
"voc057a",90,"bandits7030","bandit30","bandit70",0,2,1,0.87733,"bandit30","bandit70",1,0.29795,0,0,0.72727,0.5303,0.72727,0.5303,0.19697,1,30,1
"voc057a",91,"bandits5050","bandit50b","bandit50a",5,2,1,0.54974,"bandit50a","bandit50b",2,1.8402,0,0,0.54545,1.0359,0.54545,1.0359,-0.49043,-1,31,0
"voc057a",92,"bandits7030","bandit70","bandit30",6,1,0,0.62958,"bandit70","bandit30",1,0.98211,1,16,0.72727,1.1215,1.1215,0.72727,0.39426,1,31,0
"voc057a",93,"bandits9010","bandit10","bandit90",4,2,1,0.72336,"bandit90","bandit10",2,0.27816,1,10,0.92857,0.92679,0.92857,0.92679,0.0017857,1,31,1
"voc057a",94,"bandits7030","bandit30","bandit70",3,2,1,0.94032,"bandit70","bandit30",2,0.00017659,0,0,0.75,0.83289,0.75,0.83289,-0.082895,-1,32,0
"voc057a",95,"bandits5050","bandit50b","bandit50a",2,2,1,0.84844,"bandit50a","bandit50b",2,0.75506,1,10,0.52632,0.71316,0.52632,0.71316,-0.18684,-1,32,0
"voc057a",96,"bandits9010","bandit10","bandit90",2,2,1,0.95108,"bandit90","bandit10",2,0.31188,1,10,0.93333,0.72917,0.93333,0.72917,0.20417,1,32,1
"voc057a",97,"bandits9010","bandit90","bandit10",1,2,1,0.78812,"bandit90","bandit10",1,0.56395,1,10,0.9375,0.63125,0.9375,0.63125,0.30625,1,33,1
"voc057a",98,"bandits5050","bandit50b","bandit50a",0,2,1,1.6617,"bandit50a","bandit50b",2,1.1459,0,0,0.53846,0.53239,0.53846,0.53239,0.0060729,1,33,1
"voc057a",99,"bandits7030","bandit30","bandit70",2,1,0,1.7165,"bandit70","bandit30",2,0.67968,1,12,0.69231,0.70405,0.70405,0.69231,0.011741,1,33,0
"voc057a",100,"bandits7030","bandit70","bandit30",5,1,0,0.92261,"bandit30","bandit70",2,0.72675,0,5,0.71429,1.015,1.015,0.71429,0.30075,1,34,0
"voc057a",101,"bandits9010","bandit10","bandit90",3,2,1,3.1266,"bandit10","bandit90",1,0.74332,0,0,0.94118,0.83309,0.94118,0.83309,0.10809,1,34,1
"voc057a",102,"bandits5050","bandit50b","bandit50a",6,1,0,0.66009,"bandit50b","bandit50a",1,0.76226,0,6,0.52632,1.1132,1.1132,0.52632,0.58684,1,34,0
"voc057a",103,"bandits5050","bandit50a","bandit50b",4,1,0,1.2,"bandit50a","bandit50b",1,0.83341,0,4,0.5,0.9,0.9,0.5,0.4,1,35,0
"voc057a",104,"bandits9010","bandit10","bandit90",5,1,0,0.76686,"bandit10","bandit90",1,0.56856,0,5,0.94118,1.0294,1.0294,0.94118,0.088235,1,35,0
