"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc085c",242,"bandits9010","bandit90","bandit10",3,2,1,1.9099,"bandit90","bandit10",1,0.98407,1,10,0.91228,0.79962,0.91228,0.79962,0.11266,1,1,81
"voc085c",243,"bandits5050","bandit50b","bandit50a",4,2,1,1.4338,"bandit50a","bandit50b",2,1.9539,0,0,0.51613,0.90296,0.51613,0.90296,-0.38683,0,-1,81
"voc085c",244,"bandits5050","bandit50b","bandit50a",6,2,1,1.0768,"bandit50b","bandit50a",1,1.2879,1,10,0.5,1.0949,0.5,1.0949,-0.5949,0,-1,82
"voc085c",245,"bandits7030","bandit70","bandit30",1,2,1,1.4937,"bandit70","bandit30",1,1.1089,1,10,0.71429,0.61099,0.71429,0.61099,0.1033,1,1,82
"voc085c",246,"bandits9010","bandit10","bandit90",2,2,1,0.95766,"bandit90","bandit10",2,1.669,1,10,0.91379,0.70037,0.91379,0.70037,0.21342,1,1,82
"voc085c",247,"bandits9010","bandit10","bandit90",0,2,1,1.4345,"bandit90","bandit10",2,0.44681,0,0,0.91525,0.50111,0.91525,0.50111,0.41415,1,1,83
"voc085c",248,"bandits5050","bandit50b","bandit50a",0,2,1,1.6778,"bandit50a","bandit50b",2,0.00017937,1,10,0.5,0.5,0.5,0.5,0,,0,83
"voc085c",249,"bandits7030","bandit30","bandit70",6,2,1,1.0696,"bandit30","bandit70",1,0.80898,0,0,0.72093,1.1143,0.72093,1.1143,-0.39338,0,-1,83
"voc085c",250,"bandits5050","bandit50b","bandit50a",3,2,1,1.3066,"bandit50b","bandit50a",1,0.79005,1,10,0.51515,0.80758,0.51515,0.80758,-0.29242,0,-1,84
"voc085c",251,"bandits7030","bandit30","bandit70",0,2,1,0.16946,"bandit30","bandit70",1,1.2597,0,0,0.72093,0.51047,0.72093,0.51047,0.21047,1,1,84
"voc085c",252,"bandits9010","bandit10","bandit90",6,2,1,0.39614,"bandit90","bandit10",2,0.56646,1,10,0.9,1.0935,0.9,1.0935,-0.19348,0,-1,84
"voc085c",253,"bandits5050","bandit50a","bandit50b",1,2,1,0.20703,"bandit50a","bandit50b",1,0.62187,1,10,0.51515,0.61248,0.51515,0.61248,-0.097326,0,-1,85
"voc085c",254,"bandits9010","bandit90","bandit10",5,2,1,1.8318,"bandit90","bandit10",1,0.87226,1,10,0.90164,0.9943,0.90164,0.9943,-0.092659,0,-1,85
"voc085c",255,"bandits7030","bandit30","bandit70",3,2,1,3.6215,"bandit70","bandit30",2,1.2471,1,10,0.72093,0.80681,0.72093,0.80681,-0.085876,0,-1,85
"voc085c",256,"bandits5050","bandit50a","bandit50b",0,2,1,0.99046,"bandit50a","bandit50b",1,0.42002,0,0,0.52941,0.51961,0.52941,0.51961,0.0098039,1,1,86
"voc085c",257,"bandits9010","bandit10","bandit90",2,2,1,0.26729,"bandit90","bandit10",2,0.68364,1,10,0.90323,0.69509,0.90323,0.69509,0.20813,1,1,86
"voc085c",258,"bandits7030","bandit30","bandit70",2,1,0,0.73548,"bandit70","bandit30",2,1.5617,1,12,0.72727,0.70998,0.70998,0.72727,-0.017295,1,-1,86
"voc085c",259,"bandits5050","bandit50b","bandit50a",5,2,1,1.9469,"bandit50b","bandit50a",1,0.80206,0,0,0.51429,1.012,0.51429,1.012,-0.49776,0,-1,87
"voc085c",260,"bandits9010","bandit90","bandit10",0,2,1,0.18753,"bandit90","bandit10",1,0.65342,1,10,0.90476,0.49586,0.90476,0.49586,0.4089,1,1,87
"voc085c",261,"bandits7030","bandit30","bandit70",0,2,1,0.97541,"bandit70","bandit30",2,0.71376,0,0,0.73333,0.51301,0.73333,0.51301,0.22033,1,1,87
"voc085c",262,"bandits5050","bandit50b","bandit50a",6,2,1,1.1376,"bandit50b","bandit50a",1,1.1246,0,0,0.51429,1.1071,0.51429,1.1071,-0.59286,0,-1,88
"voc085c",263,"bandits9010","bandit90","bandit10",3,2,1,0.9566,"bandit90","bandit10",1,0.34075,0,0,0.90625,0.7966,0.90625,0.7966,0.10965,1,1,88
"voc085c",264,"bandits7030","bandit30","bandit70",1,1,0,1.1598,"bandit30","bandit70",1,0.88319,1,11,0.71739,0.60504,0.60504,0.71739,-0.11235,1,-1,88
"voc085c",265,"bandits9010","bandit10","bandit90",4,2,1,1.041,"bandit90","bandit10",2,1.5345,1,10,0.89231,0.88963,0.89231,0.88963,0.0026756,1,1,89
"voc085c",266,"bandits5050","bandit50a","bandit50b",2,2,1,1.231,"bandit50a","bandit50b",1,0.51101,0,0,0.51429,0.70243,0.51429,0.70243,-0.18814,0,-1,89
"voc085c",267,"bandits7030","bandit30","bandit70",4,2,1,0.7581,"bandit30","bandit70",1,0.56658,0,0,0.71739,0.91346,0.71739,0.91346,-0.19607,0,-1,89
"voc085c",268,"bandits7030","bandit30","bandit70",5,2,1,1.1746,"bandit70","bandit30",2,0.60024,0,0,0.71739,1.0099,0.71739,1.0099,-0.29247,0,-1,90
"voc085c",269,"bandits9010","bandit10","bandit90",6,2,1,0.10557,"bandit90","bandit10",2,0.779,1,10,0.89394,1.0904,0.89394,1.0904,-0.19651,0,-1,90
"voc085c",270,"bandits5050","bandit50b","bandit50a",4,1,0,0.72057,"bandit50a","bandit50b",2,1.2025,0,4,0.5,0.89528,0.89528,0.5,0.39528,0,1,90
"voc085c",271,"bandits7030","bandit70","bandit30",6,2,1,0.043529,"bandit70","bandit30",1,0.47816,1,10,0.70213,1.1022,0.70213,1.1022,-0.4001,0,-1,91
"voc085c",272,"bandits5050","bandit50a","bandit50b",3,2,1,0.6753,"bandit50b","bandit50a",2,0.46709,1,10,0.49057,0.78853,0.49057,0.78853,-0.29796,0,-1,91
"voc085c",273,"bandits9010","bandit90","bandit10",1,1,0,0.7352,"bandit10","bandit90",2,1.8541,0,1,0.89552,0.59124,0.59124,0.89552,-0.30428,1,-1,91
"voc085c",274,"bandits7030","bandit30","bandit70",4,2,1,0.6513,"bandit30","bandit70",1,0.3349,1,10,0.70833,0.90533,0.70833,0.90533,-0.197,0,-1,92
"voc085c",275,"bandits5050","bandit50a","bandit50b",5,2,1,2.7399,"bandit50a","bandit50b",1,0.50781,1,10,0.5,0.99324,0.5,0.99324,-0.49324,0,-1,92
"voc085c",276,"bandits9010","bandit10","bandit90",2,2,1,1.8802,"bandit90","bandit10",2,0.00018021,1,10,0.89552,0.68943,0.89552,0.68943,0.20609,1,1,92
"voc085c",277,"bandits5050","bandit50a","bandit50b",2,2,1,5.2059,"bandit50a","bandit50b",1,1.0343,1,10,0.5,0.7,0.5,0.7,-0.2,0,-1,93
"voc085c",278,"bandits9010","bandit90","bandit10",3,2,1,1.1634,"bandit90","bandit10",1,1.2755,1,10,0.89706,0.7902,0.89706,0.7902,0.10686,1,1,93
"voc085c",279,"bandits7030","bandit30","bandit70",0,2,1,1.9253,"bandit30","bandit70",1,0.5666,1,10,0.70833,0.51326,0.70833,0.51326,0.19508,1,1,93
"voc085c",280,"bandits5050","bandit50b","bandit50a",3,2,1,0.75863,"bandit50a","bandit50b",2,1.0054,0,0,0.51282,0.80641,0.51282,0.80641,-0.29359,0,-1,94
"voc085c",281,"bandits9010","bandit90","bandit10",5,1,0,1.0106,"bandit10","bandit90",2,0.95144,0,5,0.89855,0.99094,0.99094,0.89855,0.092391,0,1,94
